Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-11-01,BANKBARODA,EQ,110.65,111.7,111.85,107.05,107.35,107.7,109.32,25819979,282251400595000.0,91252,3975054,0.154
2018-11-02,BANKBARODA,EQ,107.7,108.9,113.45,108.4,110.0,109.9,111.36,38112597,424419418295000.0,117153,9756897,0.256
2018-11-05,BANKBARODA,EQ,109.9,110.0,112.5,108.7,111.25,111.2,111.06,18802509,208811545575000.0,79037,3545406,0.1886
2018-11-06,BANKBARODA,EQ,111.2,112.25,112.65,109.85,110.3,110.45,111.43,17283224,192593168265000.0,51332,4076588,0.2359
2018-11-07,BANKBARODA,EQ,110.45,111.25,111.65,110.5,111.05,110.95,110.98,1807343,20057467175000.0,8485,558316,0.3089
2018-11-09,BANKBARODA,EQ,110.95,111.0,113.25,110.4,111.45,111.5,112.07,14599759,163623990355000.0,53480,2235913,0.1531
2018-11-12,BANKBARODA,EQ,111.5,111.5,111.95,108.85,109.2,109.4,110.0,10558393,116145227180000.0,34767,1157387,0.10960000000000002
2018-11-13,BANKBARODA,EQ,109.4,108.9,109.25,106.4,109.0,108.7,107.75,14242220,153460824310000.0,49868,1015879,0.0713
2018-11-14,BANKBARODA,EQ,108.7,109.4,113.95,109.4,112.5,112.75,112.0,21880524,245065947790000.0,64044,3119847,0.1426
2018-11-15,BANKBARODA,EQ,112.75,112.9,114.45,111.15,112.55,112.8,113.0,15489157,175032199040000.0,49602,2268575,0.14650000000000002
2018-11-16,BANKBARODA,EQ,112.8,113.45,116.3,110.05,116.1,115.2,113.24,24404681,276363663740000.0,71504,4596281,0.1883
2018-11-19,BANKBARODA,EQ,115.2,116.4,118.4,114.35,115.2,115.35,116.31,26168544,304358645630000.0,76568,6272357,0.2397
2018-11-20,BANKBARODA,EQ,115.35,113.2,115.6,109.25,110.0,110.2,113.34,28258376,320287047350000.0,65989,7450099,0.2636
2018-11-21,BANKBARODA,EQ,110.2,111.1,113.45,110.5,112.4,112.2,112.35,21085996,236905298619999.97,62280,4079900,0.1935
2018-11-22,BANKBARODA,EQ,112.2,112.8,112.8,109.45,109.85,109.9,111.07,13647386,151576500185000.0,40021,2544025,0.1864
2018-11-26,BANKBARODA,EQ,109.9,110.6,111.15,107.1,108.5,108.9,108.99,15396197,167806725980000.0,44707,2358606,0.1532
2018-11-27,BANKBARODA,EQ,108.9,108.9,110.5,108.25,108.85,108.95,109.25,12495317,136507762115000.02,42812,1501534,0.1202
2018-11-28,BANKBARODA,EQ,108.95,109.0,110.25,103.6,104.35,104.75,106.87,18726621,200131605610000.0,60510,3637350,0.1942
2018-11-29,BANKBARODA,EQ,104.75,106.0,106.85,103.45,105.1,105.0,105.22,18139210,190859949100000.0,61720,3592617,0.1981
2018-11-30,BANKBARODA,EQ,105.0,105.5,106.65,103.7,105.0,105.05,105.05,14741115,154854170815000.0,64226,2806103,0.19039999999999999
2018-12-03,BANKBARODA,EQ,105.05,106.25,108.2,104.9,106.85,106.95,106.45,14092602,150019446675000.0,42855,1173588,0.0833
2018-12-04,BANKBARODA,EQ,106.95,107.1,109.55,106.3,107.75,107.85,108.09,21368296,230962184800000.0,55390,6024777,0.28190000000000004
2018-12-05,BANKBARODA,EQ,107.85,106.8,108.2,106.05,107.65,107.45,107.04,13516608,144677012455000.0,42320,2308591,0.17079999999999998
2018-12-06,BANKBARODA,EQ,107.45,106.65,107.0,104.65,105.1,105.25,105.66,10372612,109601160800000.0,38576,1839789,0.17739999999999997
2018-12-07,BANKBARODA,EQ,105.25,105.8,107.0,102.95,106.25,106.4,105.45,16565178,174687529610000.0,52241,2000969,0.1208
2018-12-10,BANKBARODA,EQ,106.4,102.4,106.9,102.4,105.6,105.95,105.54,11644907,122900551809999.98,33206,1047888,0.09
2018-12-11,BANKBARODA,EQ,105.95,103.3,110.0,103.3,108.7,109.05,107.25,19637144,210605149380000.0,47566,2478626,0.1262
2018-12-12,BANKBARODA,EQ,109.05,110.0,114.65,109.4,112.9,113.4,112.55,21298584,239710096625000.0,61389,4074723,0.1913
