Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-11-01,INFY,EQ,686.4,689.7,689.7,659.6,667.0,666.7,671.01,5860244,393227678420000.0,125725,3282959,0.5602
2018-11-02,INFY,EQ,666.7,665.95,675.8,660.1,663.2,662.25,665.4,6654067,442764240545000.0,148487,3761960,0.5654
2018-11-05,INFY,EQ,662.25,663.5,668.6,657.0,663.7,666.0,662.36,5799426,384130750055000.0,140183,3670964,0.633
2018-11-06,INFY,EQ,666.0,667.9,675.0,660.65,667.1,666.45,668.4,6975525,466244509380000.0,240509,4371014,0.6265999999999999
2018-11-07,INFY,EQ,666.45,673.0,677.5,672.0,677.45,675.5,674.86,758956,51218850070000.0,31522,307741,0.40549999999999997
2018-11-09,INFY,EQ,675.5,679.0,679.0,655.5,658.7,659.5,661.4,9694143,641172414630000.0,244092,7091290,0.7315
2018-11-12,INFY,EQ,659.5,666.0,676.4,662.3,665.05,664.2,669.82,7118080,476783230189999.94,120785,3845132,0.5402
2018-11-13,INFY,EQ,664.2,663.5,667.75,656.3,664.45,665.7,663.83,4137808,274678246075000.0,129103,2641999,0.6385000000000001
2018-11-14,INFY,EQ,665.7,665.7,665.7,640.5,652.4,653.2,648.72,7323026,475059951635000.06,174358,4361316,0.5956
2018-11-15,INFY,EQ,653.2,654.0,666.0,646.7,655.65,656.4,660.71,5513390,364273819620000.0,130605,3270275,0.5932000000000001
2018-11-16,INFY,EQ,656.4,659.9,662.5,644.2,652.0,650.85,649.95,8583785,557905317514999.94,153414,5561153,0.6479
2018-11-19,INFY,EQ,650.85,659.0,662.0,649.25,651.95,651.7,652.75,6018930,392888048215000.0,96075,4076816,0.6773
2018-11-20,INFY,EQ,651.7,651.7,656.0,640.1,640.6,641.4,645.31,5384830,347489974035000.0,105300,3188270,0.5921000000000001
2018-11-21,INFY,EQ,641.4,640.0,640.05,612.1,619.5,619.1,618.73,14359086,888440104440000.0,306110,7301207,0.5085000000000001
2018-11-22,INFY,EQ,619.1,622.25,628.15,616.75,620.85,620.75,623.11,6632975,413309949200000.0,120189,3211872,0.4842
2018-11-26,INFY,EQ,620.75,621.0,628.0,599.85,621.2,621.45,613.78,15075209,925289470060000.0,263089,8758922,0.5810000000000001
2018-11-27,INFY,EQ,621.45,625.5,641.0,625.3,641.0,638.9,634.88,12285851,780004073095000.0,200385,7331501,0.5967
2018-11-28,INFY,EQ,638.9,640.95,668.7,640.0,664.5,666.4,659.36,17719890,1168370617725000.0,310146,10672554,0.6023
2018-11-29,INFY,EQ,666.4,671.0,674.9,658.8,665.0,661.05,667.03,13399070,893760921940000.0,170549,7390099,0.5515
2018-11-30,INFY,EQ,661.05,661.0,672.0,660.95,670.0,667.45,667.52,10445773,697274071030000.0,118396,6667707,0.6383
2018-12-03,INFY,EQ,667.45,673.15,679.0,665.95,672.45,670.35,670.58,8260890,553959735900000.0,103845,6137214,0.7429000000000001
2018-12-04,INFY,EQ,670.35,672.55,688.25,671.3,683.0,685.25,682.83,7827923,534513335350000.0,129170,4357939,0.5567000000000001
2018-12-05,INFY,EQ,685.25,683.0,683.65,672.5,682.05,681.4,678.97,5177288,351520669350000.0,96257,3101033,0.599
2018-12-06,INFY,EQ,681.4,676.1,685.45,664.55,669.7,668.5,672.12,8039771,540365973750000.0,229269,3922722,0.4879
2018-12-07,INFY,EQ,668.5,672.0,685.75,665.6,681.0,682.8,679.07,5553948,377150897870000.0,125999,3024829,0.5446
2018-12-10,INFY,EQ,682.8,669.9,683.8,665.2,670.3,669.2,671.47,5121196,343871751295000.0,119910,3114377,0.6081000000000001
2018-12-11,INFY,EQ,669.2,669.2,681.9,660.6,673.25,674.5,672.27,7120933,478716157910000.06,204697,3767399,0.5291
2018-12-12,INFY,EQ,674.5,677.1,680.65,670.6,678.1,678.5,675.12,6926183,467598577585000.06,92411,3725735,0.5379
2018-12-13,INFY,EQ,678.5,682.0,700.0,680.0,695.35,697.75,690.27,7521474,519185356600000.0,187302,4679887,0.6222
2018-12-14,INFY,EQ,697.75,697.45,713.7,694.4,706.15,706.05,705.93,9560576,674910121485000.0,158039,4777005,0.4997
2018-12-17,INFY,EQ,706.05,711.85,711.85,692.75,692.75,694.4,697.79,4778465,333437689910000.0,95026,2319758,0.4855
2018-12-18,INFY,EQ,694.4,686.5,686.5,674.55,677.0,676.6,679.65,8021298,545168681905000.0,191277,4277069,0.5332
2018-12-19,INFY,EQ,676.6,671.55,671.55,661.1,664.6,664.85,665.07,8295459,551704652460000.06,263253,4781304,0.5764
2018-12-20,INFY,EQ,664.85,660.0,671.55,656.4,666.9,667.05,664.34,11705260,777623903715000.0,237519,6351199,0.5426
2018-12-21,INFY,EQ,667.05,659.5,659.5,643.45,646.55,646.2,651.1,12802132,833549375810000.0,228130,6537301,0.5106
2018-12-24,INFY,EQ,646.2,657.0,658.8,647.6,648.5,649.0,652.59,8379825,546856252600000.0,140084,3230709,0.38549999999999995
2018-12-26,INFY,EQ,649.0,647.0,647.0,637.35,643.9,644.05,641.76,6178552,396516075165000.0,129003,3192480,0.5167
2018-12-27,INFY,EQ,644.05,652.75,663.25,649.0,656.35,656.8,658.16,15333902,1009212695095000.1,182988,7084546,0.462
2018-12-28,INFY,EQ,656.8,663.35,663.5,653.3,656.1,656.95,658.29,4736598,311807670195000.0,105527,2225579,0.46990000000000004
2018-12-31,INFY,EQ,656.95,660.0,662.0,655.8,659.6,658.95,659.27,3373319,222391955025000.0,65442,1517551,0.4499
2019-01-01,INFY,EQ,658.95,660.95,666.3,654.15,665.95,665.05,660.66,2943390,194457942255000.0,45422,1282161,0.43560000000000004
2019-01-02,INFY,EQ,665.05,666.0,674.0,662.05,668.0,669.05,669.97,7416655,496896263260000.06,108094,3880800,0.5233
2019-01-03,INFY,EQ,669.05,672.0,677.0,663.1,668.0,669.15,669.66,6827249,457192925825000.0,125781,3676359,0.5385
2019-01-04,INFY,EQ,669.15,671.75,673.9,651.0,660.25,661.05,660.17,7889310,520830458870000.0,187590,3747741,0.47500000000000003
2019-01-07,INFY,EQ,661.05,665.0,673.6,661.5,671.7,671.7,667.51,8046340,537097378660000.06,132736,4711672,0.5856
2019-01-08,INFY,EQ,671.7,674.95,677.45,668.55,670.0,670.05,672.86,8621545,580112271975000.0,134369,5652959,0.6557
2019-01-09,INFY,EQ,670.05,686.2,689.8,664.0,675.6,676.1,678.41,18130292,1229973807480000.0,314702,8029281,0.4429
2019-01-10,INFY,EQ,676.1,681.6,682.0,672.55,680.8,679.7,677.63,9572493,648661027585000.0,141449,6064060,0.6335000000000001
2019-01-11,INFY,EQ,679.7,680.2,685.5,672.5,684.35,683.5,679.18,12281903,834160386110000.0,159694,6409592,0.5219
2019-01-14,INFY,EQ,683.5,707.0,710.2,695.95,701.3,701.9,701.27,19312937,1354362037615000.0,289248,7316609,0.3788
2019-01-15,INFY,EQ,701.9,707.2,730.0,707.2,728.3,726.6,721.52,19671304,1419322235315000.0,285205,8770235,0.4458
2019-01-16,INFY,EQ,726.6,729.9,737.8,728.5,735.95,736.8,734.12,9658944,709083808010000.0,175301,3769918,0.39030000000000004
2019-01-17,INFY,EQ,736.8,735.8,739.0,729.1,733.2,733.35,733.06,6903771,506086513014999.94,155361,3662842,0.5306000000000001
2019-01-18,INFY,EQ,733.35,730.0,736.2,726.3,734.0,730.95,730.43,5902151,431110179825000.0,117506,3555997,0.6025
2019-01-21,INFY,EQ,730.95,738.2,751.0,734.0,743.25,745.0,744.87,8129422,605532708630000.0,207759,4205100,0.5173
2019-01-22,INFY,EQ,745.0,741.25,749.0,734.0,747.0,745.35,739.94,6723375,497490433889999.94,184880,4348471,0.6468
2019-01-23,INFY,EQ,745.35,742.35,742.6,729.2,731.65,731.65,735.7,7212099,530591042170000.0,114457,4265475,0.5914
2019-01-24,INFY,EQ,731.65,728.1,736.1,721.0,734.0,732.0,727.66,7429783,540636501789999.94,138534,3721327,0.5009
2019-01-25,INFY,EQ,732.0,728.0,737.9,724.25,730.3,730.35,731.7,5543112,405591204645000.0,86157,3056302,0.5514
2019-01-28,INFY,EQ,730.35,731.0,732.6,719.0,731.0,727.95,725.12,7944693,576088291900000.0,128705,5442114,0.685
2019-01-29,INFY,EQ,727.95,725.5,732.85,716.5,730.05,727.9,721.76,6760819,487971490260000.06,137242,4100300,0.6065
2019-01-30,INFY,EQ,727.9,727.9,734.8,721.1,724.3,725.9,726.45,5763026,418655619195000.0,125751,3267862,0.5670000000000001
2019-01-31,INFY,EQ,725.9,726.0,751.3,726.0,750.0,749.55,744.47,13825233,1029242393485000.0,265809,8145259,0.5892000000000001
2019-02-01,INFY,EQ,749.55,751.35,762.5,744.5,756.7,757.05,753.37,6276585,472860832200000.0,119145,2274954,0.3625
2019-02-04,INFY,EQ,757.05,757.0,762.5,749.2,755.9,755.9,754.39,3945391,297636189665000.0,110537,1894178,0.48009999999999997
2019-02-05,INFY,EQ,755.9,747.0,759.95,747.0,755.0,754.85,753.48,4694366,353709484265000.0,98651,2610466,0.5561
2019-02-06,INFY,EQ,754.85,755.55,766.95,754.35,763.75,763.3,762.75,5880482,448536073514999.94,150791,3188901,0.5423
2019-02-07,INFY,EQ,763.3,763.05,769.45,761.0,763.0,764.0,766.2,3961797,303552237845000.0,102039,2154773,0.5439
2019-02-08,INFY,EQ,764.0,760.0,772.25,754.9,760.9,760.9,763.4,5915169,451562594430000.0,92824,2722938,0.46030000000000004
2019-02-11,INFY,EQ,760.9,766.9,768.75,759.0,760.45,762.8,764.82,5500216,420665329600000.0,101154,3149841,0.5727000000000001
2019-02-12,INFY,EQ,762.8,760.35,760.35,741.0,750.4,750.45,748.38,7310690,547118924060000.06,148513,3259568,0.4459
2019-02-13,INFY,EQ,750.45,750.1,759.7,743.65,754.0,754.9,753.01,5050182,380282136755000.0,133702,2418277,0.47880000000000006
2019-02-14,INFY,EQ,754.9,751.0,753.0,737.25,740.35,740.05,745.6,4610535,343761136995000.0,113149,2466085,0.5349
2019-02-15,INFY,EQ,740.05,742.3,746.5,732.6,742.05,741.95,739.44,5586389,413079566645000.0,93850,2900003,0.5191
