Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,LUPIN,EQ,844.3,848.7,852.7,839.0,842.0,841.45,844.99,1122895,94883791945000.0,32186,208806,0.18600000000000003
2019-01-02,LUPIN,EQ,841.45,842.0,847.0,826.05,832.0,832.8,835.84,1115202,93212567005000.0,36383,226680,0.20329999999999998
2019-01-03,LUPIN,EQ,832.8,836.0,840.75,818.3,822.4,821.05,829.12,987539,81878887620000.0,26029,192881,0.19530000000000003
2019-01-04,LUPIN,EQ,821.05,824.0,832.0,820.3,828.5,828.9,827.33,1279403,105849119535000.0,33103,350969,0.2743
2019-01-07,LUPIN,EQ,828.9,834.05,835.0,818.5,820.4,820.45,825.29,948727,78297567455000.0,29223,239446,0.2524
2019-01-08,LUPIN,EQ,820.45,823.8,843.75,821.15,840.3,841.7,832.26,1404676,116905099134999.98,39283,397127,0.2827
2019-01-09,LUPIN,EQ,841.7,844.0,844.9,830.05,836.6,838.15,836.25,928337,77632392485000.0,26296,232441,0.2504
2019-01-10,LUPIN,EQ,838.15,836.6,842.9,833.5,835.3,838.0,838.2,737445,61812967620000.01,18574,339406,0.46020000000000005
2019-01-11,LUPIN,EQ,838.0,838.5,842.0,828.1,837.0,839.35,835.61,824260,68876283960000.0,19532,223931,0.2717
2019-01-14,LUPIN,EQ,839.35,837.8,840.95,828.5,833.6,834.75,835.18,922667,77059555465000.0,38396,307486,0.3333
2019-01-15,LUPIN,EQ,834.75,836.5,853.0,833.05,850.5,849.7,845.96,1071980,90684983480000.0,48026,279130,0.2604
2019-01-16,LUPIN,EQ,849.7,850.4,865.5,845.1,860.5,863.2,858.38,1681645,144348563105000.0,30564,339532,0.20190000000000002
2019-01-17,LUPIN,EQ,863.2,863.65,875.0,860.1,865.05,868.75,867.16,1995674,173056053180000.0,43604,529841,0.2655
2019-01-18,LUPIN,EQ,868.75,861.1,867.35,851.85,859.0,862.3,860.43,1824696,157001869355000.0,40800,527900,0.2893
2019-01-21,LUPIN,EQ,862.3,857.0,879.7,857.0,870.9,866.65,869.21,1712240,148830057775000.0,47219,404509,0.23620000000000002
2019-01-22,LUPIN,EQ,866.65,866.0,872.4,851.0,865.0,865.45,859.87,1258723,108234225420000.0,37212,344696,0.2738
2019-01-23,LUPIN,EQ,865.45,866.0,873.6,859.25,864.15,864.6,865.92,837289,72502677350000.0,23855,135395,0.1617
