Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-11-01,RCOM,EQ,12.35,12.5,14.2,12.5,14.1,14.1,13.51,144618228,195388206560000.0,73232,22173616,0.1533
2018-11-02,RCOM,EQ,14.1,14.35,15.25,13.85,14.2,14.1,14.7,111904630,164461591780000.0,62607,16925091,0.1512
2018-11-05,RCOM,EQ,14.1,14.95,14.95,13.45,14.2,14.1,13.99,69148992,96737186675000.0,44295,8139903,0.1177
2018-11-06,RCOM,EQ,14.1,14.2,14.4,13.65,13.8,13.8,13.91,35245855,49043190595000.0,19831,5199510,0.1475
2018-11-07,RCOM,EQ,13.8,14.1,14.1,13.8,13.9,13.85,13.9,6003489,8342314590000.001,6102,1930822,0.3216
2018-11-09,RCOM,EQ,13.85,13.7,14.3,13.5,14.3,14.2,13.9,40369648,56115861070000.01,23215,8800978,0.218
2018-11-12,RCOM,EQ,14.2,13.8,14.6,13.75,13.9,13.85,14.1,43675188,61584260525000.0,24988,6877229,0.1575
2018-11-13,RCOM,EQ,13.85,13.9,13.9,13.2,13.6,13.55,13.52,41543756,56172902000000.0,22312,5118491,0.1232
2018-11-14,RCOM,EQ,13.55,13.6,13.9,13.3,13.7,13.7,13.6,34668195,47153854950000.0,22449,4215078,0.1216
2018-11-15,RCOM,EQ,13.7,13.7,13.7,13.35,13.45,13.4,13.48,19041611,25665579120000.0,18599,3218681,0.16899999999999998
2018-11-16,RCOM,EQ,13.4,13.5,13.7,13.15,13.55,13.55,13.44,51881650,69732505154999.99,22047,6282917,0.1211
2018-11-19,RCOM,EQ,13.55,13.6,14.75,13.45,14.1,14.1,14.13,75131002,106140769665000.0,39129,11437713,0.1522
2018-11-20,RCOM,EQ,14.1,14.05,14.3,13.35,13.55,13.55,13.79,56965684,78539767230000.0,32187,7161791,0.1257
2018-11-21,RCOM,EQ,13.55,13.55,13.9,13.5,13.9,13.75,13.69,35165344,48147321155000.0,16652,4461125,0.12689999999999999
2018-11-22,RCOM,EQ,13.75,13.95,14.05,13.2,13.3,13.3,13.57,55337728,75110249255000.0,30395,7221832,0.1305
2018-11-26,RCOM,EQ,13.3,13.35,13.6,13.0,13.5,13.3,13.29,38401855,51047642435000.0,28437,4941977,0.12869999999999998
2018-11-27,RCOM,EQ,13.3,13.3,13.6,13.05,13.35,13.3,13.28,48528221,64441627425000.0,30745,3637217,0.075
2018-11-28,RCOM,EQ,13.3,13.4,13.45,13.0,13.15,13.1,13.24,29712360,39348727740000.0,22167,4162442,0.1401
2018-11-29,RCOM,EQ,13.1,13.15,13.25,12.45,12.65,12.75,12.84,35843615,46034264235000.0,30846,4749266,0.1325
2018-11-30,RCOM,EQ,12.75,12.6,14.65,12.55,14.4,14.25,14.0,155035529,217061993000000.0,93928,21062199,0.1359
2018-12-03,RCOM,EQ,14.25,15.2,16.85,14.7,16.85,16.6,16.01,264930325,424098316575000.0,145463,27531978,0.1039
2018-12-04,RCOM,EQ,16.6,17.1,18.65,16.9,17.0,17.1,17.78,323613170,575425013300000.0,190852,33736520,0.1042
2018-12-05,RCOM,EQ,17.1,17.0,17.5,16.1,16.25,16.25,16.63,174862607,290736283470000.0,91458,13372903,0.0765
2018-12-06,RCOM,EQ,16.25,16.0,16.5,15.25,16.35,16.3,15.85,137774119,218309002480000.03,79313,11824426,0.0858
2018-12-07,RCOM,EQ,16.3,16.6,17.0,15.6,15.7,15.75,16.12,133398785,215082364125000.0,61973,13786476,0.1033
2018-12-10,RCOM,EQ,15.75,15.3,15.5,14.5,14.55,14.75,15.01,73729982,110703330759999.98,45188,10586005,0.1436
2018-12-11,RCOM,EQ,14.75,14.0,16.1,13.65,15.65,15.4,14.73,132082016,194611579120000.0,55767,11181465,0.08470000000000001
2018-12-12,RCOM,EQ,15.4,15.95,16.3,15.45,15.65,15.65,15.88,84008027,133419539155000.0,55025,9956991,0.1185
2018-12-13,RCOM,EQ,15.65,15.65,16.05,14.9,15.35,15.4,15.58,86873709,135348513770000.0,45574,9434608,0.1086
2018-12-14,RCOM,EQ,15.4,15.05,16.5,15.05,15.75,15.75,15.83,142480206,225487048765000.0,71387,13111726,0.092
2018-12-17,RCOM,EQ,15.75,15.95,16.25,15.55,15.65,15.65,15.84,64347183,101909559080000.0,47341,11786298,0.1832
2018-12-18,RCOM,EQ,15.65,15.7,16.05,15.5,15.85,15.75,15.81,70167746,110921948445000.0,31860,6362056,0.0907
2018-12-19,RCOM,EQ,15.75,14.2,14.95,13.65,14.25,14.25,14.46,163060955,235745620019999.97,90670,21094893,0.1294
2018-12-20,RCOM,EQ,14.25,14.25,14.65,14.05,14.4,14.35,14.39,85157043,122533712840000.02,39987,8764340,0.10289999999999999
2018-12-21,RCOM,EQ,14.35,14.5,14.7,14.05,14.3,14.2,14.29,65912405,94164163980000.0,32322,9950744,0.151
2018-12-24,RCOM,EQ,14.2,14.35,14.55,13.75,14.25,14.15,14.11,95356659,134581414000000.0,39249,5116016,0.053700000000000005
2018-12-26,RCOM,EQ,14.15,14.15,14.45,13.8,14.3,14.3,14.1,87089399,122830695675000.0,45077,4927038,0.056600000000000004
2018-12-27,RCOM,EQ,14.3,14.45,14.65,14.15,14.45,14.5,14.42,69081337,99597998710000.0,41785,9224227,0.1335
2018-12-28,RCOM,EQ,14.5,14.35,15.05,14.35,14.65,14.7,14.72,73248725,107815343195000.0,30392,7963616,0.10869999999999999
2018-12-31,RCOM,EQ,14.7,14.75,14.95,14.3,14.4,14.4,14.6,71586882,104512807595000.0,48377,6988298,0.0976
2019-01-01,RCOM,EQ,14.4,14.5,14.6,14.15,14.35,14.35,14.35,45185360,64860127410000.0,19996,3424969,0.0758
2019-01-02,RCOM,EQ,14.35,14.35,14.4,13.6,13.85,13.85,13.97,92048688,128633693855000.0,37389,12952671,0.14070000000000002
2019-01-03,RCOM,EQ,13.85,13.75,13.85,13.45,13.45,13.5,13.63,52405739,71438878030000.0,22434,6232461,0.1189
2019-01-04,RCOM,EQ,13.5,13.4,14.2,13.3,14.0,14.0,13.81,139026951,192011140055000.0,53416,8906048,0.0641
2019-01-07,RCOM,EQ,14.0,14.25,14.35,13.65,13.85,13.9,13.95,95262182,132928717130000.0,49960,7827371,0.08220000000000001
