Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-11-01,WIPRO,EQ,331.2,332.95,332.95,322.5,329.0,329.65,326.47,2505700,81803056815000.0,40885,808993,0.3229
2018-11-02,WIPRO,EQ,329.65,329.0,331.6,317.05,318.55,318.4,323.28,3660725,118343086100000.0,47549,1815576,0.49600000000000005
2018-11-05,WIPRO,EQ,318.4,315.1,325.5,314.1,323.95,324.1,321.14,2554071,82021190545000.0,48901,1058710,0.41450000000000004
2018-11-06,WIPRO,EQ,324.1,324.8,326.85,321.1,323.3,324.9,324.72,2290933,74392263090000.0,39232,1159047,0.5059
2018-11-07,WIPRO,EQ,324.9,325.4,327.75,324.55,324.95,325.35,325.78,142541,4643685335000.0,2593,38982,0.2735
2018-11-09,WIPRO,EQ,325.35,328.0,328.0,317.65,324.0,324.85,321.11,4623479,148464843440000.0,94368,2788394,0.6031000000000001
2018-11-12,WIPRO,EQ,324.85,324.75,326.5,321.8,324.6,323.35,324.0,2586579,83806175515000.0,39852,1487931,0.5753
2018-11-13,WIPRO,EQ,323.35,323.5,327.7,321.0,326.05,326.15,325.45,2288150,74468615710000.0,43253,1040680,0.4548
2018-11-14,WIPRO,EQ,326.15,325.0,326.1,318.65,324.15,324.55,322.57,1831417,59076446745000.01,24250,750684,0.40990000000000004
2018-11-15,WIPRO,EQ,324.55,324.15,330.5,321.65,321.7,323.15,327.38,3353550,109789270715000.02,57463,1932800,0.5763
2018-11-16,WIPRO,EQ,323.15,323.5,330.4,323.5,325.6,326.2,327.21,2728443,89276825295000.0,50806,1477740,0.5416
2018-11-19,WIPRO,EQ,326.2,325.5,335.4,321.5,330.95,332.85,328.89,2817505,92665201260000.0,52772,1163042,0.4128
2018-11-20,WIPRO,EQ,332.85,330.9,330.9,320.1,321.9,321.3,325.17,2590244,84226852245000.0,32758,894645,0.3454
2018-11-21,WIPRO,EQ,321.3,320.0,320.0,313.25,315.0,314.15,315.69,2603932,82203449500000.0,45672,860885,0.3306
2018-11-22,WIPRO,EQ,314.15,315.0,318.8,306.0,307.4,307.1,312.04,3089809,96412929985000.0,46698,868394,0.2811
2018-11-26,WIPRO,EQ,307.1,303.4,319.9,302.65,319.5,318.45,311.83,6996420,218171315000000.0,74730,2938399,0.42
2018-11-27,WIPRO,EQ,318.45,316.85,322.3,311.0,312.3,312.05,315.47,4296839,135551198309999.98,56196,1992711,0.46380000000000005
2018-11-28,WIPRO,EQ,312.05,313.95,315.55,309.25,310.8,310.3,311.57,6347516,197770079185000.0,69741,3948486,0.6221
2018-11-29,WIPRO,EQ,310.3,314.0,316.65,309.6,314.9,314.9,313.69,2922520,91677970335000.0,43394,1163808,0.3982
2018-11-30,WIPRO,EQ,314.9,315.05,326.4,313.7,324.8,324.65,323.11,6371721,205876184985000.0,76207,3631581,0.5700000000000001
2018-12-03,WIPRO,EQ,324.65,325.0,329.5,323.05,327.8,328.25,327.5,2668224,87385132685000.0,49174,1134890,0.4253
2018-12-04,WIPRO,EQ,328.25,328.25,341.25,325.7,334.45,334.95,334.6,5971913,199819646325000.0,83796,2695901,0.4514
2018-12-05,WIPRO,EQ,334.95,333.0,338.7,328.15,336.25,336.45,334.33,3849080,128687760280000.0,48780,1071305,0.2783
2018-12-06,WIPRO,EQ,336.45,333.25,336.45,329.0,330.0,331.65,332.29,2337100,77658727870000.0,70184,992324,0.42460000000000003
2018-12-07,WIPRO,EQ,331.65,332.8,336.35,324.45,333.35,333.3,329.19,3474102,114363437875000.0,88846,1146498,0.33
2018-12-10,WIPRO,EQ,333.3,328.3,336.5,325.1,325.15,326.6,329.56,3198111,105396214285000.0,44102,1461089,0.4569
2018-12-11,WIPRO,EQ,326.6,325.4,333.8,324.8,328.85,328.0,329.06,4423215,145548741985000.0,60938,2268987,0.513
2018-12-12,WIPRO,EQ,328.0,329.8,332.0,327.95,330.45,330.05,330.32,2635669,87061921390000.0,48766,1179270,0.4474
2018-12-13,WIPRO,EQ,330.05,331.0,343.95,329.0,339.0,338.65,337.85,5148093,173929817445000.0,75220,1729346,0.33590000000000003
2018-12-14,WIPRO,EQ,338.65,339.0,343.0,332.3,335.0,333.1,336.69,4797032,161509165230000.0,50298,1538755,0.3208
2018-12-17,WIPRO,EQ,333.1,335.95,341.75,334.4,338.7,339.6,338.96,3435752,116457601530000.0,52638,1204299,0.3505
2018-12-18,WIPRO,EQ,339.6,335.25,338.4,332.55,335.0,335.05,335.19,3699153,123993177500000.0,43204,1738198,0.46990000000000004
2018-12-19,WIPRO,EQ,335.05,335.05,342.25,331.4,340.2,340.7,337.58,3741754,126314854755000.0,54236,1631273,0.436
2018-12-20,WIPRO,EQ,340.7,336.25,340.0,332.35,333.5,333.25,336.03,2408153,80922203980000.0,31057,968693,0.4023
2018-12-21,WIPRO,EQ,333.25,333.2,334.8,320.75,323.15,322.1,324.03,9828513,318476379715000.0,74245,6898863,0.7019
2018-12-24,WIPRO,EQ,322.1,322.7,330.5,321.4,326.05,326.7,326.55,4231888,138193688559999.98,40988,1545746,0.3653
2018-12-26,WIPRO,EQ,326.7,325.7,327.3,319.35,325.55,326.15,323.47,2355520,76194905340000.0,25141,685952,0.2912
2018-12-27,WIPRO,EQ,326.15,327.8,331.35,324.0,325.95,327.45,328.41,5072651,166593453025000.0,40149,2299514,0.4533
2018-12-28,WIPRO,EQ,327.45,326.2,332.9,325.8,329.1,330.05,330.32,2229453,73643562350000.0,30483,982378,0.44060000000000005
2018-12-31,WIPRO,EQ,330.05,331.0,333.8,329.05,330.65,330.85,331.68,2136121,70849954880000.0,33015,964133,0.45130000000000003
2019-01-01,WIPRO,EQ,330.85,330.75,332.75,325.4,328.7,326.65,328.07,1513704,49660323920000.0,9567,551152,0.3641
2019-01-02,WIPRO,EQ,326.65,328.8,331.3,323.0,325.4,325.55,327.22,3308303,108252814745000.0,32302,1441481,0.43570000000000003
2019-01-03,WIPRO,EQ,325.55,327.0,327.95,323.05,324.35,325.5,325.04,3542281,115139640034999.98,63197,1478446,0.41740000000000005
2019-01-04,WIPRO,EQ,325.5,324.5,326.85,319.65,324.0,324.45,323.57,2405278,77827199700000.0,57938,1009598,0.4197
2019-01-07,WIPRO,EQ,324.45,326.1,326.75,322.3,324.0,324.25,324.38,1903604,61748685760000.0,23556,931174,0.4892
2019-01-08,WIPRO,EQ,324.25,325.0,327.5,322.6,323.65,325.55,325.07,2084659,67765020904999.99,28665,1160733,0.5568
2019-01-09,WIPRO,EQ,325.55,324.55,332.6,324.55,328.3,329.0,329.71,3927881,129506632770000.0,57992,1914533,0.48740000000000006
2019-01-10,WIPRO,EQ,329.0,330.8,331.05,323.0,325.25,325.75,325.55,3099392,100900659150000.0,55931,1511750,0.4878
2019-01-11,WIPRO,EQ,325.75,325.6,329.9,323.5,329.25,328.7,325.82,1598939,52097025635000.0,24376,558503,0.3493
